Organism Name	Literature Reference	TaxID	Domain	Phylum	Class	Order	Family	Genus	Species
Thermodesulforhabdus	https://doi.org/10.3390/microorganisms9091818	88358	Bacteria	Thermodesulfobacteriota	Syntrophobacteria	Syntrophobacterales	Thermodesulforhabdaceae	Thermodesulforhabdus	NULL
Thermodesulfovibrionia	https://doi.org/10.1093/femsec/fiae162	2811502	Bacteria	Nitrospirota	Thermodesulfovibrionia	NULL	NULL	NULL	NULL
Thermoflexia	https://doi.org/10.3389/fmicb.2021.710881	1495646	Bacteria	Chloroflexota	Thermoflexia	NULL	NULL	NULL	NULL
Thermogemmata	https://doi.org/10.1016/j.syapm.2020.126157	2787008	Bacteria	Planctomycetota	Planctomycetia	Gemmatales	Gemmataceae	Thermogemmata	NULL
Thermogutta	https://doi.org/10.3389/fmicb.2017.02140	1676125	Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Thermoguttaceae	Thermogutta	NULL
Caminicella	https://doi.org/10.1099/00207713-52-5-1621	166484	Bacteria	Bacillota	Clostridia	Peptostreptococcales	Caminicellaceae	Caminicella	NULL
Thermohalobacter	https://doi.org/10.1099/00207713-50-2-559	99593	Bacteria	Bacillota	Tissierellia	Tissierellales	Thermohalobacteraceae	Thermohalobacter	NULL
Natranaerobius	https://doi.org/10.1099/ijs.0.65068-0	375928	Bacteria	Bacillota	Clostridia	Natranaerobiales	Natranaerobiaceae	Natranaerobius	NULL
Thermolithobacter	https://doi.org/10.1007/s00792-006-0022-5	335382	Bacteria	Bacillota	Thermolithobacteria	Thermolithobacterales	Thermolithobacteraceae	Thermolithobacter	NULL
Limnochorda	https://doi.org/10.1099/ijs.0.000267	1676651	Bacteria	Bacillota	Limnochordia	Limnochordales	Limnochordaceae	Limnochorda	NULL
Caloranaerobacter	https://doi.org/10.1099/00207713-51-5-1789	171003	Bacteria	Bacillota	Tissierellia	Tissierellales	Thermohalobacteraceae	Caloranaerobacter	NULL
