Assembly Accession	Organism Name	Organism Taxonomic ID	Organism Infraspecific Names Isolate	Organism Infraspecific Names Strain	Assembly Release Date	Assembly BioSample Accession	Assembly BioSample Isolate	Assembly BioSample Strain	Assembly BioSample Isolation source	Assembly BioSample Geographic location	Assembly BioSample Latitude and Longitude	Assembly BioSample Collection date	Assembly BioSample Host	Assembly BioSample Host disease	Assembly BioSample Ecotype	Assembly Atypical Is Atypical	Assembly Atypical Warnings	Assembly Type
GCA_000961135.3	Candidatus Aramenus sulfurataquae	1326980	AZ1-454		2024-07-21	SAMN03323732	AZ1-454		muddy water from acid hot spring	Mexico: Los Azufres geothermal field, Michoacan	19.47 N 100.40 W	2010-05						haploid
GCA_003662835.1	Candidatus Asgardarchaeum californiense	3067292	B16_G1		2018-10-15	SAMN09214822	B16_G1		deep-sea hydrothermal vent sediments from dive 4569_9 depth 0-3 cm	Mexico: Guaymas Basin, Gulf of California	27.015 N 111.379 W	2009-11-30						haploid
GCA_002871235.1	Candidatus Bathyarchaeota archaeon	2026714	ZAV-17		2018-01-10	SAMN08107326	ZAV-17	not applicable	hot spring	Russia: Uzon Caldera, Kamchatka, Zavarzin hot spring	54.295 N 160.052 E	2004-08	not applicable					haploid
GCA_002871245.1	Candidatus Bathyarchaeota archaeon	2026714	ZAV-11		2018-01-10	SAMN08107320	ZAV-11	not applicable	hot spring	Russia: Uzon Caldera, Kamchatka, Zavarzin hot spring	54.295 N 160.052 E	2004-08	not applicable					haploid
GCA_002871255.1	Candidatus Bathyarchaeota archaeon	2026714	ZAV-13		2018-01-10	SAMN08107322	ZAV-13	not applicable	hot spring	Russia: Uzon Caldera, Kamchatka, Zavarzin hot spring	54.295 N 160.052 E	2004-08	not applicable					haploid
GCA_003235175.1	Candidatus Bathyarchaeota archaeon	2026714	SZUA-280		2018-06-18	SAMN09287828	SZUA-280		marine hydrothermal sulfide sediment TVG11	Atlantic Ocean: Mid-Atlantic Ridge, South	15.16 S 13.35 W	2012-08						haploid
GCA_003235725.1	Candidatus Bathyarchaeota archaeon	2026714	SZUA-240		2018-06-18	SAMN09287788	SZUA-240		marine hydrothermal sulfide sediment TVG11	Atlantic Ocean: Mid-Atlantic Ridge, South	15.16 S 13.35 W	2012-08						haploid
GCA_003246955.1	Candidatus Bathyarchaeota archaeon	2026714	SZUA-409		2018-06-18	SAMN09287957	SZUA-409		marine hydrothermal sulfide sediment TVG12	Atlantic Ocean: Mid-Atlantic Ridge, South	15.16 S 13.35 W	2012-08						haploid
GCA_003247875.1	Candidatus Bathyarchaeota archaeon	2026714	SZUA-298		2018-06-18	SAMN09287846	SZUA-298		marine hydrothermal sulfide sediment TVG11	Atlantic Ocean: Mid-Atlantic Ridge, South	15.16 S 13.35 W	2012-08						haploid
GCA_003249775.1	Candidatus Bathyarchaeota archaeon	2026714	SZUA-568		2018-06-19	SAMN09288116	SZUA-568		marine hydrothermal sulfide sediment TVG12	Atlantic Ocean: Mid-Atlantic Ridge, South	15.16 S 13.35 W	2012-08						haploid
GCA_003250545.1	Candidatus Bathyarchaeota archaeon	2026714	SZUA-518		2018-06-19	SAMN09288066	SZUA-518		marine hydrothermal sulfide sediment TVG12	Atlantic Ocean: Mid-Atlantic Ridge, South	15.16 S 13.35 W	2012-08				true	contaminated	haploid
GCA_003601595.1	Candidatus Bathyarchaeota archaeon	2026714	M8_bin26		2018-10-01	SAMN08103061	M8_bin26	missing	marine sediment sample collected at a deep sea vent site during cruise AT15-25 on Alvin dive 4460; sediment was oily and the sediment surface was covered with a white microbial mat	Mexico: Guaymas Basin, Gulf of California	missing	2008-10						haploid
GCA_003601605.1	Candidatus Bathyarchaeota archaeon	2026714	M8_bin1642		2018-10-01	SAMN08103060	M8_bin1642	missing	marine sediment sample collected at a deep sea vent site during cruise AT15-25 on Alvin dive 4460; sediment was oily and the sediment surface was covered with a white microbial mat	Mexico: Guaymas Basin, Gulf of California	missing	2008-10						haploid
GCA_003601635.1	Candidatus Bathyarchaeota archaeon	2026714	M10_bin242		2018-10-01	SAMN08103056	M10_bin242	missing	marine sediment sample collected at a deep sea vent site during cruise AT15-25 on Alvin dive 4460; sediment was oily and the sediment surface was covered with a white microbial mat	Mexico: Guaymas Basin, Gulf of California	missing	2008-10						haploid
GCA_003601655.1	Candidatus Bathyarchaeota archaeon	2026714	M10_bin241		2018-10-01	SAMN08103055	M10_bin241	missing	marine sediment sample collected at a deep sea vent site during cruise AT15-25 on Alvin dive 4460; sediment was oily and the sediment surface was covered with a white microbial mat	Mexico: Guaymas Basin, Gulf of California	missing	2008-10						haploid
GCA_003601665.1	Candidatus Bathyarchaeota archaeon	2026714	M10_bin208		2018-10-01	SAMN08103053	M10_bin208	missing	marine sediment sample collected at a deep sea vent site during cruise AT15-25 on Alvin dive 4460; sediment was oily and the sediment surface was covered with a white microbial mat	Mexico: Guaymas Basin, Gulf of California	missing	2008-10						haploid
GCA_003601695.1	Candidatus Bathyarchaeota archaeon	2026714	M10_bin190		2018-10-01	SAMN08103052	M10_bin190	missing	marine sediment sample collected at a deep sea vent site during cruise AT15-25 on Alvin dive 4460; sediment was oily and the sediment surface was covered with a white microbial mat	Mexico: Guaymas Basin, Gulf of California	missing	2008-10						haploid
GCA_003601715.1	Candidatus Bathyarchaeota archaeon	2026714	M10_bin190		2018-10-01	SAMN08103051	M10_bin190	missing	marine sediment sample collected at a deep sea vent site during cruise AT15-25 on Alvin dive 4460; sediment was oily and the sediment surface was covered with a white microbial mat	Mexico: Guaymas Basin, Gulf of California	missing	2008-10						haploid
GCA_003601725.1	Candidatus Bathyarchaeota archaeon	2026714	M10_bin190		2018-10-01	SAMN08103050	M10_bin190	missing	marine sediment sample collected at a deep sea vent site during cruise AT15-25 on Alvin dive 4460; sediment was oily and the sediment surface was covered with a white microbial mat	Mexico: Guaymas Basin, Gulf of California	missing	2008-10						haploid
GCA_003601735.1	Candidatus Bathyarchaeota archaeon	2026714	M10_bin182		2018-10-01	SAMN08103048	M10_bin182	missing	marine sediment sample collected at a deep sea vent site during cruise AT15-25 on Alvin dive 4460; sediment was oily and the sediment surface was covered with a white microbial mat	Mexico: Guaymas Basin, Gulf of California	missing	2008-10						haploid
GCA_003601775.1	Candidatus Bathyarchaeota archaeon	2026714	M10_bin139		2018-10-01	SAMN08103046	M10_bin139	missing	marine sediment sample collected at a deep sea vent site during cruise AT15-25 on Alvin dive 4460; sediment was oily and the sediment surface was covered with a white microbial mat	Mexico: Guaymas Basin, Gulf of California	missing	2008-10						haploid
GCA_003601785.1	Candidatus Bathyarchaeota archaeon	2026714	M8_bin163		2018-10-01	SAMN08103059	M8_bin163	missing	marine sediment sample collected at a deep sea vent site during cruise AT15-25 on Alvin dive 4460; sediment was oily and the sediment surface was covered with a white microbial mat	Mexico: Guaymas Basin, Gulf of California	missing	2008-10						haploid
GCA_003601835.1	Candidatus Bathyarchaeota archaeon	2026714	M8_bin162		2018-10-01	SAMN08103058	M8_bin162	missing	marine sediment sample collected at a deep sea vent site during cruise AT15-25 on Alvin dive 4460; sediment was oily and the sediment surface was covered with a white microbial mat	Mexico: Guaymas Basin, Gulf of California	missing	2008-10						haploid
GCA_003601845.1	Candidatus Bathyarchaeota archaeon	2026714	M10_bin26		2018-10-01	SAMN08103057	M10_bin26	missing	marine sediment sample collected at a deep sea vent site during cruise AT15-25 on Alvin dive 4460; sediment was oily and the sediment surface was covered with a white microbial mat	Mexico: Guaymas Basin, Gulf of California	missing	2008-10						haploid
GCA_003601875.1	Candidatus Bathyarchaeota archaeon	2026714	M10_bin214		2018-10-01	SAMN08103054	M10_bin214	missing	marine sediment sample collected at a deep sea vent site during cruise AT15-25 on Alvin dive 4460; sediment was oily and the sediment surface was covered with a white microbial mat	Mexico: Guaymas Basin, Gulf of California	missing	2008-10						haploid
GCA_003601885.1	Candidatus Bathyarchaeota archaeon	2026714	M10_bin143		2018-10-01	SAMN08103047	M10_bin143	missing	marine sediment sample collected at a deep sea vent site during cruise AT15-25 on Alvin dive 4460; sediment was oily and the sediment surface was covered with a white microbial mat	Mexico: Guaymas Basin, Gulf of California	missing	2008-10						haploid
GCA_003604315.1	Candidatus Bathyarchaeota archaeon	2026714	M10_bin185		2018-10-01	SAMN08103049	M10_bin185	missing	marine sediment sample collected at a deep sea vent site during cruise AT15-25 on Alvin dive 4460; sediment was oily and the sediment surface was covered with a white microbial mat	Mexico: Guaymas Basin, Gulf of California	missing	2008-10						haploid
GCA_003661945.1	Candidatus Bathyarchaeota archaeon	2026714	B95_G9		2018-10-15	SAMN09215195	B95_G9		deep-sea hydrothermal vent sediments from dive 4571_4 depth 0-3 cm	Mexico: Guaymas Basin, Gulf of California	29.52416667 N 113.57000000 W	2009-12-02						haploid
GCA_003661975.1	Candidatus Bathyarchaeota archaeon	2026714	B71_G16		2018-10-15	SAMN09214917	B71_G16		deep-sea hydrothermal vent sediments from dive 4569_2 depth 12-15 cm	Mexico: Guaymas Basin, Gulf of California	29.52416667 N 113.57000000 W	2009-11-30						haploid
GCA_003662005.1	Candidatus Bathyarchaeota archaeon	2026714	B64_G1		2018-10-15	SAMN09214776	B64_G1		deep-sea hydrothermal vent sediments from dive 4569_9 depth 0-3 cm	Mexico: Guaymas Basin, Gulf of California	27.015 N 111.379 W	2009-11-30						haploid
GCA_003662025.1	Candidatus Bathyarchaeota archaeon	2026714	B6_G12		2018-10-15	SAMN09214839	B6_G12		deep-sea hydrothermal vent sediments from dive 4567_28 depth 21-24 cm	Mexico: Guaymas Basin, Gulf of California	27.009034 N 111.408146 W	2009-11-28						haploid
GCA_003662035.1	Candidatus Bathyarchaeota archaeon	2026714	B59_G2		2018-10-15	SAMN09215041	B59_G2		deep-sea hydrothermal vent sediments from dive 4569_9 depth 9-12 cm	Mexico: Guaymas Basin, Gulf of California	27.015 N 111.379 W	2009-11-30						haploid
GCA_003662065.1	Candidatus Bathyarchaeota archaeon	2026714	B58_G16		2018-10-15	SAMN09214916	B58_G16		deep-sea hydrothermal vent sediments from dive 4569_2 depth 12-15 cm	Mexico: Guaymas Basin, Gulf of California	29.52416667 N 113.57000000 W	2009-11-30						haploid
GCA_003662085.1	Candidatus Bathyarchaeota archaeon	2026714	B57_G1		2018-10-15	SAMN09214775	B57_G1		deep-sea hydrothermal vent sediments from dive 4569_9 depth 0-3 cm	Mexico: Guaymas Basin, Gulf of California	27.015 N 111.379 W	2009-11-30						haploid
GCA_003662095.1	Candidatus Bathyarchaeota archaeon	2026714	B56_G2		2018-10-15	SAMN09215040	B56_G2		deep-sea hydrothermal vent sediments from dive 4569_9 depth 9-12 cm	Mexico: Guaymas Basin, Gulf of California	27.015 N 111.379 W	2009-11-30						haploid
GCA_003662125.1	Candidatus Bathyarchaeota archaeon	2026714	B56_G16		2018-10-15	SAMN09214915	B56_G16		deep-sea hydrothermal vent sediments from dive 4569_2 depth 12-15 cm	Mexico: Guaymas Basin, Gulf of California	29.52416667 N 113.57000000 W	2009-11-30						haploid
GCA_003662145.1	Candidatus Bathyarchaeota archaeon	2026714	B55_G16		2018-10-15	SAMN09214914	B55_G16		deep-sea hydrothermal vent sediments from dive 4569_2 depth 12-15 cm	Mexico: Guaymas Basin, Gulf of California	29.52416667 N 113.57000000 W	2009-11-30						haploid
GCA_003662155.1	Candidatus Bathyarchaeota archaeon	2026714	B53_G15		2018-10-15	SAMN09214867	B53_G15		deep-sea hydrothermal vent sediments from dive 4569_2 depth 21-24 cm	Mexico: Guaymas Basin, Gulf of California	29.52416667 N 113.57000000 W	2009-11-30						haploid
GCA_003662185.1	Candidatus Bathyarchaeota archaeon	2026714	B49_G15		2018-10-15	SAMN09214866	B49_G15		deep-sea hydrothermal vent sediments from dive 4569_2 depth 21-24 cm	Mexico: Guaymas Basin, Gulf of California	29.52416667 N 113.57000000 W	2009-11-30						haploid
GCA_003662205.1	Candidatus Bathyarchaeota archaeon	2026714	B46_G15		2018-10-15	SAMN09214865	B46_G15		deep-sea hydrothermal vent sediments from dive 4569_2 depth 21-24 cm	Mexico: Guaymas Basin, Gulf of California	29.52416667 N 113.57000000 W	2009-11-30						haploid
GCA_003662215.1	Candidatus Bathyarchaeota archaeon	2026714	B46_G17		2018-10-15	SAMN09214993	B46_G17		deep-sea hydrothermal vent sediments from dive 4571_4 depth 12-15 cm	Mexico: Guaymas Basin, Gulf of California	29.52416667 N 113.57000000 W	2009-12-02						haploid
GCA_003662245.1	Candidatus Bathyarchaeota archaeon	2026714	B42_G17		2018-10-15	SAMN09214992	B42_G17		deep-sea hydrothermal vent sediments from dive 4571_4 depth 12-15 cm	Mexico: Guaymas Basin, Gulf of California	29.52416667 N 113.57000000 W	2009-12-02						haploid
GCA_003662265.1	Candidatus Bathyarchaeota archaeon	2026714	B38_G1		2018-10-15	SAMN09214774	B38_G1		deep-sea hydrothermal vent sediments from dive 4569_9 depth 0-3 cm	Mexico: Guaymas Basin, Gulf of California	27.015 N 111.379 W	2009-11-30						haploid
GCA_003662275.1	Candidatus Bathyarchaeota archaeon	2026714	B37_G15		2018-10-15	SAMN09214864	B37_G15		deep-sea hydrothermal vent sediments from dive 4569_2 depth 21-24 cm	Mexico: Guaymas Basin, Gulf of California	29.52416667 N 113.57000000 W	2009-11-30						haploid
GCA_003662325.1	Candidatus Bathyarchaeota archaeon	2026714	B34_G9		2018-10-15	SAMN09215194	B34_G9		deep-sea hydrothermal vent sediments from dive 4571_4 depth 0-3 cm	Mexico: Guaymas Basin, Gulf of California	29.52416667 N 113.57000000 W	2009-12-02						haploid
GCA_003662345.1	Candidatus Bathyarchaeota archaeon	2026714	B33_G1		2018-10-15	SAMN09214773	B33_G1		deep-sea hydrothermal vent sediments from dive 4569_9 depth 0-3 cm	Mexico: Guaymas Basin, Gulf of California	27.015 N 111.379 W	2009-11-30						haploid
GCA_003662365.1	Candidatus Bathyarchaeota archaeon	2026714	B32_G9		2018-10-15	SAMN09215193	B32_G9		deep-sea hydrothermal vent sediments from dive 4571_4 depth 0-3 cm	Mexico: Guaymas Basin, Gulf of California	29.52416667 N 113.57000000 W	2009-12-02				true	contaminated	haploid
GCA_003662385.1	Candidatus Bathyarchaeota archaeon	2026714	B31_G2		2018-10-15	SAMN09215039	B31_G2		deep-sea hydrothermal vent sediments from dive 4569_9 depth 9-12 cm	Mexico: Guaymas Basin, Gulf of California	27.015 N 111.379 W	2009-11-30						haploid
GCA_003662395.1	Candidatus Bathyarchaeota archaeon	2026714	B29_G1		2018-10-15	SAMN09214772	B29_G1		deep-sea hydrothermal vent sediments from dive 4569_9 depth 0-3 cm	Mexico: Guaymas Basin, Gulf of California	27.015 N 111.379 W	2009-11-30						haploid
GCA_003662425.1	Candidatus Bathyarchaeota archaeon	2026714	B27_G2		2018-10-15	SAMN09215038	B27_G2		deep-sea hydrothermal vent sediments from dive 4569_9 depth 9-12 cm	Mexico: Guaymas Basin, Gulf of California	27.015 N 111.379 W	2009-11-30						haploid
GCA_003662445.1	Candidatus Bathyarchaeota archaeon	2026714	B27_G16		2018-10-15	SAMN09214913	B27_G16		deep-sea hydrothermal vent sediments from dive 4569_2 depth 12-15 cm	Mexico: Guaymas Basin, Gulf of California	29.52416667 N 113.57000000 W	2009-11-30						haploid
GCA_003662455.1	Candidatus Bathyarchaeota archaeon	2026714	B27_G17		2018-10-15	SAMN09214991	B27_G17		deep-sea hydrothermal vent sediments from dive 4571_4 depth 12-15 cm	Mexico: Guaymas Basin, Gulf of California	29.52416667 N 113.57000000 W	2009-12-02						haploid
GCA_003662505.1	Candidatus Bathyarchaeota archaeon	2026714	B26_G15		2018-10-15	SAMN09214862	B26_G15		deep-sea hydrothermal vent sediments from dive 4569_2 depth 21-24 cm	Mexico: Guaymas Basin, Gulf of California	29.52416667 N 113.57000000 W	2009-11-30						haploid
GCA_003662535.1	Candidatus Bathyarchaeota archaeon	2026714	B24_G1		2018-10-15	SAMN09214771	B24_G1		deep-sea hydrothermal vent sediments from dive 4569_9 depth 0-3 cm	Mexico: Guaymas Basin, Gulf of California	27.015 N 111.379 W	2009-11-30						haploid
GCA_003662565.1	Candidatus Bathyarchaeota archaeon	2026714	B23_G17		2018-10-15	SAMN09214988	B23_G17		deep-sea hydrothermal vent sediments from dive 4571_4 depth 12-15 cm	Mexico: Guaymas Basin, Gulf of California	29.52416667 N 113.57000000 W	2009-12-02						haploid
GCA_003662585.1	Candidatus Bathyarchaeota archaeon	2026714	B23_G15		2018-10-15	SAMN09214861	B23_G15		deep-sea hydrothermal vent sediments from dive 4569_2 depth 21-24 cm	Mexico: Guaymas Basin, Gulf of California	29.52416667 N 113.57000000 W	2009-11-30						haploid
GCA_003662595.1	Candidatus Bathyarchaeota archaeon	2026714	B2_G12		2018-10-15	SAMN09214838	B2_G12		deep-sea hydrothermal vent sediments from dive 4567_28 depth 21-24 cm	Mexico: Guaymas Basin, Gulf of California	27.009034 N 111.408146 W	2009-11-28						haploid
GCA_003662625.1	Candidatus Bathyarchaeota archaeon	2026714	B19_G2		2018-10-15	SAMN09215037	B19_G2		deep-sea hydrothermal vent sediments from dive 4569_9 depth 9-12 cm	Mexico: Guaymas Basin, Gulf of California	27.015 N 111.379 W	2009-11-30						haploid
GCA_003662645.1	Candidatus Bathyarchaeota archaeon	2026714	B17_G17		2018-10-15	SAMN09214987	B17_G17		deep-sea hydrothermal vent sediments from dive 4571_4 depth 12-15 cm	Mexico: Guaymas Basin, Gulf of California	29.52416667 N 113.57000000 W	2009-12-02						haploid
GCA_003662655.1	Candidatus Bathyarchaeota archaeon	2026714	B13_G2		2018-10-15	SAMN09215036	B13_G2		deep-sea hydrothermal vent sediments from dive 4569_9 depth 9-12 cm	Mexico: Guaymas Basin, Gulf of California	27.015 N 111.379 W	2009-11-30						haploid
GCA_003662685.1	Candidatus Bathyarchaeota archaeon	2026714	B1_G2		2018-10-15	SAMN09215035	B1_G2		deep-sea hydrothermal vent sediments from dive 4569_9 depth 9-12 cm	Mexico: Guaymas Basin, Gulf of California	27.015 N 111.379 W	2009-11-30						haploid
GCA_003662705.1	Candidatus Bathyarchaeota archaeon	2026714	B1_G13		2018-10-15	SAMN09214846	B1_G13		deep-sea hydrothermal vent sediments from dive 4488_9 depth 4-6 cm	Mexico: Guaymas Basin, Gulf of California	27.015145 N 111.379887 W	2008-12-07						haploid
GCA_003662715.1	Candidatus Bathyarchaeota archaeon	2026714	B1_G15		2018-10-15	SAMN09214860	B1_G15		deep-sea hydrothermal vent sediments from dive 4569_2 depth 21-24 cm	Mexico: Guaymas Basin, Gulf of California	29.52416667 N 113.57000000 W	2009-11-30						haploid
GCA_003662745.1	Candidatus Bathyarchaeota archaeon	2026714	B1_G12		2018-10-15	SAMN09214837	B1_G12		deep-sea hydrothermal vent sediments from dive 4567_28 depth 21-24 cm	Mexico: Guaymas Basin, Gulf of California	27.009034 N 111.408146 W	2009-11-28						haploid
GCA_009889585.1	Candidatus Bathyarchaeota archaeon	2026714	ILS 300		2020-01-16	SAMN13381783	ILS 300		hot spring microbial mat	India:West Bengal	23.8809694 N 87.37511919 E	2015-12-11						haploid
GCA_009889605.1	Candidatus Bathyarchaeota archaeon	2026714	ILS 200		2020-01-16	SAMN13565975	ILS 200		hot spring microbial mat	India:Jharkhand	24.15053189 N 85.64587959 E	2015-11-08				true	contaminated	haploid
GCA_011039475.1	Candidatus Bathyarchaeota archaeon	2026714	HyVt-194		2020-02-28	SAMN09638366	HyVt-194		marine hydrothermal sediment	Mexico: Guaymas Basin, Gulf of California	27.0078 N 111.4071 W	2009-12-02						haploid
GCA_011039555.1	Candidatus Bathyarchaeota archaeon	2026714	HyVt-175		2020-02-28	SAMN09638345	HyVt-175		marine hydrothermal sediment	Mexico: Guaymas Basin, Gulf of California	27.0078 N 111.4071 W	2009-12-02						haploid
GCA_011040545.1	Candidatus Bathyarchaeota archaeon	2026714	HyVt-157		2020-02-29	SAMN09638325	HyVt-157		marine hydrothermal sediment	Mexico: Guaymas Basin, Gulf of California	27.0078 N 111.4071 W	2009-12-02						haploid
GCA_011040605.1	Candidatus Bathyarchaeota archaeon	2026714	HyVt-155		2020-02-29	SAMN09638323	HyVt-155		marine hydrothermal sediment	Mexico: Guaymas Basin, Gulf of California	27.0078 N 111.4071 W	2009-12-02						haploid
